"2018-01-01",0,"JRS","VKH",0,-3,3
"2018-01-01",0,"MAS","VKH",0,0,1
"2018-01-01",0,"LAV","VKS",10,0,1
"2018-01-01",0,"HPL","VMO",4,0,2
"2018-01-01",0,"LPÄ","VTR",0,-22,1
"2018-01-01",1,"KKI","AHV",0,-12,1
"2018-01-01",1,"JP","AIN",1,0,1
"2018-01-01",1,"KYT","AIN",2,0,1
"2018-01-01",1,"HY","ARP",1,0,1
"2018-01-01",1,"RI","ARP",0,0,1
"2018-01-01",1,"HVK","ASO",8,0,2
"2018-01-01",1,"LNÄ","ASO",8,0,2
"2018-01-01",1,"RSM","AVP",12,0,2
"2018-01-01",1,"VMS","AVP",6,0,2
"2018-01-01",1,"KLH","EPO",1,-6,3
"2018-01-01",1,"TRL","EPO",12,0,2
"2018-01-01",1,"JRS","HEK",8,0,2
"2018-01-01",1,"TOL","HEK",2,0,2
"2018-01-01",1,"HVK","HKH",10,-1,5
"2018-01-01",1,"TKL","HKH",14,0,5
"2018-01-01",1,"PSL","HKI",10,-14,8
"2018-01-01",1,"LH","HLT",0,-13,1
"2018-01-01",1,"KRS","HNA",2,-1,3
"2018-01-01",1,"RKL","HNA",2,0,2
"2018-01-01",1,"VMA","HNO",0,-7,1
"2018-01-01",1,"V001","HOS",0,-4,1
"2018-01-01",1,"KHK","HPL",6,0,4
"2018-01-01",1,"POH","HPL",3,0,2
"2018-01-01",1,"VMO","HPL",0,-13,3
"2018-01-01",1,"TOM","HR",0,-12,1
"2018-01-01",1,"ASO","HVK",8,0,2
"2018-01-01",1,"HKH","HVK",12,0,4
"2018-01-01",1,"KVY","HVK",2,0,2
"2018-01-01",1,"ARP","HY",0,0,1
"2018-01-01",1,"PLP","HY",1,0,1
"2018-01-01",1,"KHK","ILA",2,-12,4
"2018-01-01",1,"PSL","ILA",6,0,4
"2018-01-01",1,"KÄP","ILR",0,-4,1
"2018-01-01",1,"PLP","JK",0,0,1
"2018-01-01",1,"PUR","JK",2,0,1
"2018-01-01",1,"AIN","JP",2,0,1
"2018-01-01",1,"SAU","JP",0,0,1
"2018-01-01",1,"HEK","JRS",0,0,1
"2018-01-01",1,"VKH","JRS",8,0,2
"2018-01-01",1,"MKO","JTS",0,-15,1
"2018-01-01",1,"VRI","JY",12,0,1
"2018-01-01",1,"NMÄ","KA",0,-10,1
"2018-01-01",1,"MLO","KAN",5,0,2
"2018-01-01",1,"POH","KAN",5,0,2
"2018-01-01",1,"KYT","KE",0,0,1
"2018-01-01",1,"SAV","KE",2,-1,3
"2018-01-01",1,"KIL","KEA",6,0,2
"2018-01-01",1,"KNI","KEA",1,-8,3
"2018-01-01",1,"HPL","KHK",2,-13,4
"2018-01-01",1,"ILA","KHK",6,0,4
"2018-01-01",1,"KEA","KIL",1,-9,3
"2018-01-01",1,"LPV","KIL",5,0,2
"2018-01-01",1,"TA","KJR",0,-30,1
"2018-01-01",1,"KN","KKI",0,-12,1
"2018-01-01",1,"TOL","KKN",8,0,2
"2018-01-01",1,"EPO","KLH",10,0,2
"2018-01-01",1,"MAS","KLH",1,-5,3
"2018-01-01",1,"KEA","KNI",6,0,2
"2018-01-01",1,"KVH","KNI",1,-7,3
"2018-01-01",1,"YKST","KOK",0,-85,1
"2018-01-01",1,"KJR","KPA",0,-31,1
"2018-01-01",1,"KV","KRA",0,-7,1
"2018-01-01",1,"MJJ","KRR",0,-63,1
"2018-01-01",1,"HNA","KRS",2,0,2
"2018-01-01",1,"SAV","KRS",2,0,3
"2018-01-01",1,"KPA","KTH",0,-32,1
"2018-01-01",1,"RSM","KTÖ",6,0,2
"2018-01-01",1,"VEH","KTÖ",15,0,3
"2018-01-01",1,"UTI","KUV",0,-30,1
"2018-01-01",1,"KNI","KVH",11,0,3
