HKO:VAR,PM,HNV,YLY,VIH,JNS
KKI:AHV,PRI,ÄS,KRU,HNO,TPE,VMA,LLH,NOA,SNM,TKL,SIU,SKI,PSL,JÄS
KLH:EPO,KKN,HKI,IKO,PKU,KVH,KEA,HPL,SLO,ILR,KNI,PSL,TKU,KR,VMO,KIL
KV:HJ,LH,KTH,KTS,LÄ,MYT,KPA,PL,KJR,PM,MI,PSL,IMR,SPÄ,TA,RPO,HKO,HLT,PLT,KSU,ILR,MR,TAP,TRÄ,KII,HLS,LR,VLH,MKO,LPÄ,KÄP,IMT,SR,JR,LOL,VHJ,SIP,MLÄ,KE,JTS,KUO,MUR,HIR,HAA,LRS,RAS,SPL,RI,LKL,TNA,PLA,SÄ,HSL,RY,VNA,OT,TOM,TKL,RAH
HPL:HKI,VMO,KAN,PJM,MÄK,VKS,ILR,MYR,LPV,KLH,TKU,KIL,SLO,KNI,KÄP,IKO,PSL,EPO,KKN,KEA,KVH,LH,LPO,HKH,TKL
TOM:HLT,JR,LH,RI,KV,JK,ITA,VLH,LR,LPÄ,PSL,RAH,SIP
VAR:HNV,HKO,VIH,PLT,JNS,PM,VNJ,YLY,MUL
KEA:HPL,KIL,KNI,EPO,KLH,KVH,LPV,HKI,MÄK,PJM,SLO,IKO,KKN,VMO,PSL,TKU,LPO,KR,ILR
VMO:HPL,PJM,MÄK,KLH,HKI,KIL,EPO,LPV,ILR,PSL,IKO,TKU,KVH,KEA,KNI,KKN
RI:JR,HY,RY,TOM,HL,TL,TU,KE,KR,JAL,JK,TKL,PUR,TNA,LH,SAU,HLT,PSL,TPE,ML,YV,JP,PMK,KYT,VSA,HKH,KTH,ILR,PLA,ITA,KV,PKO,KRS,VIA,LPÄ,SIM,RKL,PRL,KOK,HKI,OV,SAV,YLÖ,KÄP,HP,SLO,JÄS,VLH,MD,SIP,HVN,MIS,JTS,IKO
KNI:KEA,KVH,KKN,KIL,HPL,EPO,MÄK,LPV,KLH,IKO,HKI,PSL,SLO,VMO,TKU,LPO,ILR,TKL,PJM
